index;x;y;z
583;0.517075;0.484039;-0.395294
584;0.528992;0.509659;-0.396286
585;0.567520;0.509750;-0.402176
586;0.568924;0.519333;-0.421555
587;0.587875;0.577866;-0.439178
588;0.661453;0.640274;-0.429398
589;0.842926;0.647919;-0.523605
590;0.905731;0.603500;-0.632278
591;0.900391;0.669525;-0.731598
592;0.844711;0.643204;-0.823898
593;0.744415;0.489975;-0.853439
594;0.586060;0.386627;-0.720078
595;0.563324;0.364502;-0.676895
596;0.638550;0.359207;-0.632782
597;0.665924;0.368851;-0.562180
598;0.672333;0.361801;-0.528870
599;0.682434;0.354431;-0.507263
600;0.647247;0.358337;-0.474808
601;0.634445;0.383759;-0.446304
602;0.685272;0.300644;-0.465652
603;0.754349;0.314224;-0.467957
604;0.720718;0.286270;-0.422577
605;0.650833;0.327255;-0.445602
606;0.593796;0.361511;-0.456985
607;0.642456;0.408157;-0.445007
